Date,Terrain,Trial,Forward Velocities,Exponent,Deviation
21-Aug,flat,1,0.3704344014253737,0.5449832098933177,0.1465198816565447
21-Aug,flat,4,0.2055510346228517,0.638567328626452,0.1641930034032373
21-Aug,flat,5,0.2291107186883248,,0.1143990017316463
21-Aug,flat,6,0.2223963951043819,,0.1385057627135918
21-Aug,terrain,1,0.2086601332594561,0.4549824225012222,0.1477926569272346
21-Aug,terrain,2,0.1411149836098512,0.2048699900106132,0.2068625899228726
21-Aug,terrain,3,0.2148906389222596,0.0004043000685738,0.220320049100495
21-Aug,terrain,4,0.1621485779914583,0.4709671578110148,0.2157810877878023
21-Aug,terrain,5,0.1484172248440724,0.0892564719770515,0.2525408291821977
23-Aug,flat,1,0.2354113210639194,,0.1568448141831619
23-Aug,flat,2,0.2776512503272915,0.0525656925618535,0.1115690440706734
24-Aug,amputate_R2,1,0.154363003361424,,0.1576749251779646
24-Aug,amputate_R2,3,0.1009016904633086,0.1833262920415496,0.1197918472933834
24-Aug,amputate_R2,4,0.2228061841893002,,0.1348224878812249
24-Aug,amputate_R2,5,0.1184859666000097,0.0269604691058964,0.1385993276831364
24-Aug,amputate_R2,6,0.1607069982040175,0.4994634187170671,0.1405694669239983
27-Aug,amputate_L3,2,0.1822322855442628,0.0443043771222346,0.1936916430184523
27-Aug,amputate_L3,3,0.185322169531834,,0.1583643538331025
27-Aug,amputate_L3,4,0.0990655955678525,0.1110243172372118,0.1171704767316521
27-Aug,amputate_L3,5,-0.13879776087109,,0.1381904760436305
27-Aug,amputate_L3,6,0.0694760056931494,0.0533626882004226,0.1457493321134678
27-Aug,amputate_R2_L2,1,0.1070955499063718,0.311133436590491,0.1255573503946255
27-Aug,amputate_R2_L2,2,0.0934219258493848,,0.1272063806642657
27-Aug,amputate_R2_L2,3,0.0841945440812454,0.0358856715136644,0.1402938813441079
27-Aug,amputate_R2_L2,5,0.0592578974989046,0.0513271238163958,0.1510419666829187
27-Aug,amputate_R2_L2,6,0.0804176711301449,,0.1228070814211309
27-Aug,amputate_R3_L3,1,0.0902436797752104,,0.1912540853269945
27-Aug,amputate_R3_L3,2,0.1202370422909572,0.0697840429160491,0.1838970117380795
27-Aug,amputate_R3_L3,3,0.1330904207627806,,0.2001720149721401
27-Aug,amputate_R3_L3,4,0.0772575398708017,0.5101919893094309,0.2083145478144738
27-Aug,amputate_R3_L3,5,0.0964315984319786,,0.1820172400122599
27-Aug,amputate_R3_L3,6,0.0922622652718464,0.0502069548307393,0.1895957938545244
29-Aug,predefined_amputate_L3,1,-0.0090094153251196,,0.1857301663799088
29-Aug,predefined_amputate_L3,2,0.0532120740820651,,0.1653138400477528
29-Aug,predefined_amputate_L3,3,0.042741104359437,,0.1770652356506933
29-Aug,predefined_amputate_L3,4,0.0547069373406804,,0.1507960562060686
29-Aug,predefined_amputate_L3,5,0.0561465476000375,,0.1704000948342195
29-Aug,predefined_amputate_R2,1,0.0583862662582589,,0.0905981329212682
29-Aug,predefined_amputate_R2,2,0.0933109280690136,,0.0917117104535152
29-Aug,predefined_amputate_R2,3,0.0602262435103857,,0.0921002358243881
29-Aug,predefined_amputate_R2,4,0.0674021100974682,,0.0929588347207009
29-Aug,predefined_amputate_R2,5,0.0614985930773611,,0.0921278697475436
29-Aug,predefined_amputate_R2_L2,1,-0.0292970090529983,,0.0937809538969792
29-Aug,predefined_amputate_R2_L2,2,-0.0070267076706865,,0.0897577312646948
29-Aug,predefined_amputate_R2_L2,3,-0.0572299919068793,,0.0908915073240636
29-Aug,predefined_amputate_R2_L2,4,-0.0214746925874376,,0.0874877948468451
29-Aug,predefined_amputate_R2_L2,5,-0.0311767009161354,,0.084619491564215
29-Aug,predefined_amputate_R3_L3,1,0.0207148914637818,,0.2039288145243242
29-Aug,predefined_amputate_R3_L3,2,-0.0019309652248285,,0.2818218368139591
29-Aug,predefined_amputate_R3_L3,3,0.0122777269623742,,0.1848498013088491
29-Aug,predefined_amputate_R3_L3,4,-0.03608805779869,,0.2974796625152996
29-Aug,predefined_amputate_R3_L3,5,0.014562945126326,,0.292346603060584
29-Aug,predefined_flat,1,0.1349312057357004,,0.0572386180696227
29-Aug,predefined_flat,2,0.0971236662533561,,0.055169714614149
29-Aug,predefined_flat,3,0.1587354027793348,,0.057161338615671
29-Aug,predefined_flat,4,0.1422191957292481,,0.0564784775526061
29-Aug,predefined_flat,5,0.1720369370452886,,0.0573066347279616
29-Aug,predefined_terrain,1,0.0299739690005769,,0.2402843050889483
29-Aug,predefined_terrain,2,0.0233151617013256,,0.2417400980998767
29-Aug,predefined_terrain,3,0.0248288180795114,,0.173090971124262
29-Aug,predefined_terrain,4,-0.0004282867800821,,0.2189940146415173
29-Aug,predefined_terrain,5,-0.0367367770406958,,0.2458275777591176
5-Aug,flat,1,0.312833160903915,,0.1482973836000491
5-Aug,flat,2,0.3663495878745539,0.1447402543117012,0.1580545174799205
9-Aug,flat,1,0.1374293066760513,,0.1447095472760086
