Date,Terrain,Trial,Forward Velocities,Exponent,Deviation
21-Aug,flat,1,0.3704344014253737,0.4948173041676945,0.1240251247428039
21-Aug,flat,4,0.2055510346228517,0.1050620043575397,0.112207893624236
21-Aug,terrain,1,0.2086601332594561,0.0447644531890461,0.1265399650223524
21-Aug,terrain,2,0.1411149836098512,0.3285708674773565,0.1380918218747667
21-Aug,terrain,3,0.2148906389222596,0.581773209123106,0.1213435900287667
21-Aug,terrain,4,0.1621485779914583,0.0023082866785539,0.1252485024732031
21-Aug,terrain,5,0.1484172248440724,0.0360767839018838,0.1434004105008786
23-Aug,flat,2,0.2776512503272915,0.0232340530793334,0.1100406436977448
24-Aug,amputate_R2,3,0.1009016904633086,0.0468875090011434,0.098804471304289
24-Aug,amputate_R2,5,0.1184859666000097,0.0193999395361098,0.1282629060127861
24-Aug,amputate_R2,6,0.1607069982040175,0.0588539144958199,0.1081678714119113
27-Aug,amputate_L3,2,0.1822322855442628,0.0692233852313954,0.1498278856080643
27-Aug,amputate_L3,4,0.0990655955678525,0.5855909554023452,0.115848242322897
27-Aug,amputate_L3,6,0.0694760056931494,0.0301722131779617,0.1127054707852686
27-Aug,amputate_R2_L2,1,0.1070955499063718,0.3547464045492957,0.0993917380733193
27-Aug,amputate_R2_L2,3,0.0841945440812454,-0.0135235884698319,0.102727630469115
27-Aug,amputate_R2_L2,5,0.0592578974989046,0.5860415858623576,0.1424223340838963
27-Aug,amputate_R3_L3,2,0.1202370422909572,0.5158006451582869,0.1014654739163944
27-Aug,amputate_R3_L3,4,0.0772575398708017,0.5234930298994429,0.1349800632419244
27-Aug,amputate_R3_L3,6,0.0922622652718464,0.0518152640373271,0.1093107207424214
5-Aug,flat,2,0.3663495878745539,0.0483493380820848,0.1523027093998264
