Terrain,Mean Velocity % of Flat,Std Velocity % of Flat,P-value (vs flat),P-value (vs predefined)
amputate_L3,51.53681431634086,19.433468708879857,0.00792,0.13479
amputate_R2,57.82682410284134,17.936779824110957,0.01724,0.09476
amputate_R3_L3,38.78739822308741,7.9622908714450045,0.00105,0.00303
flat,100.0,29.432282277681846,,0.99939
predefined_amputate_L3,34.018576594704456,4.008840297728067,0.02832,
predefined_amputate_R2,40.714583635813675,2.5647161394429725,0.02949,
predefined_amputate_R3_L3,7.504999439710241,6.302598147802458,0.02836,
predefined_flat,100.00000000000001,10.969710551156549,,
predefined_terrain,5.38922230463215,18.236959985649015,0.00784,
terrain,66.83517491293301,13.149405126730683,0.03604,0.00249
