Date,Terrain,Trial,Forward Velocities,Exponent
11-Sep,predefined_amputate_R2_L2,1,0.011444593,
11-Sep,predefined_amputate_R2_L2,2,-0.013150043,
11-Sep,predefined_amputate_R2_L2,3,0.015747651,
11-Sep,predefined_amputate_R2_L2,4,0.022884162,
11-Sep,predefined_amputate_R2_L2,5,0.015219478,
21-Aug,flat,1,0.370557921,
21-Aug,flat,4,0.205585299,
21-Aug,flat,5,0.229177108,
21-Aug,flat,6,0.222452008,
21-Aug,terrain,1,0.208712311,
21-Aug,terrain,2,0.141189294,
21-Aug,terrain,3,0.214998138,
21-Aug,terrain,4,0.162202646,
21-Aug,terrain,5,0.148466714,
23-Aug,flat,1,0.235463646,
23-Aug,flat,2,0.277762355,
24-Aug,amputate_R2,1,0.15440712,
24-Aug,amputate_R2,3,0.1009101,
24-Aug,amputate_R2,4,0.222846702,
24-Aug,amputate_R2,5,0.118515595,
24-Aug,amputate_R2,6,0.160742719,
27-Aug,amputate_L3,2,0.182268739,
27-Aug,amputate_L3,3,0.185349992,
27-Aug,amputate_L3,4,0.099093908,
27-Aug,amputate_L3,5,0.138837429,
27-Aug,amputate_L3,6,0.069489904,
27-Aug,amputate_R2_L2,1,0.10713126,
27-Aug,amputate_R2_L2,2,0.093435274,
27-Aug,amputate_R2_L2,3,0.084220065,
27-Aug,amputate_R2_L2,5,0.059266142,
27-Aug,amputate_R2_L2,6,0.080427725,
27-Aug,amputate_R3_L3,1,0.090279792,
27-Aug,amputate_R3_L3,2,0.120261095,
27-Aug,amputate_R3_L3,3,0.133108169,
27-Aug,amputate_R3_L3,4,0.077268578,
27-Aug,amputate_R3_L3,5,0.096455712,
27-Aug,amputate_R3_L3,6,0.092277645,
29-Aug,predefined_amputate_L3,1,-0.009011668,
29-Aug,predefined_amputate_L3,2,0.053229817,
29-Aug,predefined_amputate_L3,3,0.04275332,
29-Aug,predefined_amputate_L3,4,0.054720617,
29-Aug,predefined_amputate_L3,5,0.056167513,
29-Aug,predefined_amputate_R2,1,0.05840963,
29-Aug,predefined_amputate_R2,2,0.09333884,
29-Aug,predefined_amputate_R2,3,0.060241304,
29-Aug,predefined_amputate_R2,4,0.067425571,
29-Aug,predefined_amputate_R2,5,0.061529358,
29-Aug,predefined_amputate_R3_L3,1,0.020721799,
29-Aug,predefined_amputate_R3_L3,2,-0.001931885,
29-Aug,predefined_amputate_R3_L3,3,0.012291384,
29-Aug,predefined_amputate_R3_L3,4,-0.036112133,
29-Aug,predefined_amputate_R3_L3,5,0.01457023,
29-Aug,predefined_flat,1,0.134958197,
29-Aug,predefined_flat,2,0.097143095,
29-Aug,predefined_flat,3,0.158767156,
29-Aug,predefined_flat,4,0.142242903,
29-Aug,predefined_flat,5,0.172065615,
29-Aug,predefined_terrain,1,0.029981464,
29-Aug,predefined_terrain,2,0.023319048,
29-Aug,predefined_terrain,3,0.024837097,
29-Aug,predefined_terrain,4,-0.000428372,
29-Aug,predefined_terrain,5,-0.036745964,
5-Aug,flat,1,0.312953528,
5-Aug,flat,2,0.366471745,
9-Aug,flat,1,0.137520987,
