Terrain,Mean Forward Velocity,Std Forward Velocity,P-value (vs flat),P-value (vs predefined),U-statistic (vs flat),U-statistic (vs predefined),Slower than flat?,Faster than predefined?
flat,-4.34E-15,29.43182576,,0.601398601,,24,,FALSE
predefined_flat,-2.49E-15,20.18658013,,,,,,
terrain,33.16109346,13.14922977,0.020979021,0.003968254,38,0,TRUE,TRUE
predefined_terrain,94.1910648,19.6572158,,,,,,
amputate_L3,48.46902039,19.42958803,0.003496503,0.111111111,42,6,,FALSE
predefined_amputate_L3,71.94185169,19.61728475,,,,,,
amputate_R2,42.18015018,17.93482357,0.009490509,0.273809524,40,9,TRUE,FALSE
predefined_amputate_R2,51.65118553,10.25203242,,,,,,
amputate_R2_L2,67.59614964,6.732873294,0.0004995,0.003968254,45,0,TRUE,TRUE
predefined_amputate_R2_L2,92.605283,9.795115766,,,,,,
amputate_R3_L3,61.21721911,7.959892584,0.0001998,0.002164502,54,0,TRUE,TRUE
predefined_amputate_R3_L3,98.64723389,16.17789403,,,,,,
