Terrain,Mean Velocity % of Flat,Std Velocity % of Flat,P-value (vs flat),P-value (vs predefined)
amputate_L3,51.53681431634086,19.433468708879857,0.00795,0.01313
amputate_R2,57.82682410284134,17.936779824110957,0.01657,0.01621
amputate_R2_L2,34.85292909223671,4.533328356353676,0.0028,0.02779
amputate_R3_L3,38.78739822308741,7.9622908714450045,0.00084,0.00266
flat,100.0,29.432282277681846,,0.01912
predefined_amputate_L3,19.740432380534926,2.32626549207186,,
predefined_amputate_R2,23.626017476860756,1.4882634899492484,,
predefined_amputate_R2_L2,-8.492991078075821,4.192405588034994,,
predefined_amputate_R3_L3,4.355030362399548,3.657296248478147,,
predefined_flat,58.028390240195556,6.365546446845026,,
predefined_terrain,3.1272789498436038,10.582614308420721,,
terrain,66.83517491293301,13.149405126730683,0.03557,0.00088
