Terrain,Mean Forward Velocity,Std Forward Velocity,P-value (vs flat),P-value (vs predefined),U-statistic (vs flat),U-statistic (vs predefined)
flat,-4.34E-15,29.43182576,,0.6013986013986014,,24
predefined_flat,-2.49E-15,20.186580125535038,,,,
amputate_L3,48.46902038555403,19.429588031709617,0.003496503,0.1111111111111111,42,6
predefined_amputate_L3,71.94185168549592,19.617284750872535,,,,
amputate_R2,42.18015018102649,17.934823566662597,0.009490509,0.27380952380952384,40,9
predefined_amputate_R2,51.65118552666962,10.25203242,,,,
terrain,33.161093462282054,13.149229773769788,0.020979020979020976,0.003968254,38,0
predefined_terrain,94.19106480003772,19.657215803405496,,,,
amputate_R2_L2,67.59614963930383,6.732873294438723,0.0004995,0.003968254,45,0
predefined_amputate_R2_L2,92.60528299785673,9.795115765998972,,,,
amputate_R3_L3,61.21721911263379,7.959892583976185,0.0001998,0.002164502,54,0
predefined_amputate_R3_L3,98.64723389164132,16.17789403228877,,,,
